SITE 1,sec,sec,m/sec2,sec,m/sec2
CONFLICT NO,PET,TTV,DSTped,TTA,DSTveh
1,0.56,4.51,1.187,2.116,1.129
2,0.48,0.64,0.6,0.68,0.71
3,0.96,0.68,0.54,0.62,0.5
4,0.84,0.61,0.62,0.54,0.58
5,0.5,0.52,0.49,1.32,0.49
6,0.5,3.32,1.26,2.13,1.45
7,0.85,2.52,2.56,2.78,1.23
8,1.15,0.75,2.14,3.01,0.51
9,0.67,1.75,1.15,2.69,0.56
10,1.5,1.67,1.56,1.56,0.98
11,1.72,1.83,1.89,1.98,1.01
12,3.15,0.99,2.01,0.69,1.05
13,3.21,3.12,0.58,0.98,1.65
14,4.56,2.17,0.53,0.87,0.75
15,2.32,2.36,0.69,1.25,0.5
16,3.1,1.25,2.51,1.65,0.95
17,1.15,0.95,1.36,1.89,0.87
18,0.76,0.85,1.25,2.56,0.75
19,0.81,0.75,1.89,2.98,0.69
20,1.23,4.51,2.37,3.2,1.06
21,1.66,2.84,1.47,0.97,1.23
22,1.79,3.05,1.15,2.55,1.56
23,4.5,4.01,0.89,3.12,1.81
24,2.56,3.89,0.75,1.65,1.74
25,3.25,0.48,0.69,0.99,1.45
26,1.95,2.84,2.36,0.84,0.89
27,2.56,3.98,1.56,0.55,0.78
28,2.2,3.05,1.47,0.74,0.85
29,0.85,0.67,1.58,1.02,1.57
30,1.56,3.85,0.69,1.06,1.63
31,1.1,2.59,0.75,1.25,1.72