tweet,Label
yeah I got 2 backups for all that. I just hate when that happen. I been strugglin for a week now...handle that tho,0
I hate using my BB  but love my iPhone. Haven't tried the new BB. My BB is provided by my corp. I don't get to pick which model,0
 Get fucking real dude.,1
 She is as dirty as they come  and that crook Rengel  the Dems are so fucking corrupt it's a joke. Make Republicans look like  ...,1
 why did you fuck it up. I could do it all day too. Let's do it when you have an hour. Ping me later to sched writing a book here.,1
 Dude they dont finish enclosing the fucking showers. I hate half assed jobs. Whats the reasononing behind it? Makes no sense.,1
 WTF are you talking about Men? No men thats not a menage  that's just gay.,1
Ill save you the trouble sister. Here comes a big ol fuck France block coming your way here on the twitter.,1
 Im dead serious.Real athletes never cheat don't even have the appearance of at his level. Fuck him dude seriously  I think he did,1
wow lol sounds like a lot of piss then hehehe,0
not a damn thang..the typical rap beef. one person worrying about what the next is doing and the other respondin etc etc,0
...go absolutely insane.hate to be the bearer of bad news..LoL..dont shoot the messenger (cause we all know you bought that pistol,1
well damn!! where have you been when i have needed you 'Mother Time',0
watching without a trace too...hate when i miss the 1st 5 minutes when the person disappears!!!!!,0
which they do most of the time:-P I don't hate them either I wanted to be one once..but I figured out I couldn't live w/ myself,0
"Lmao  im watching the same thing ahaha. The gay guy is hilarious! ""Dede having a good day and I dont want anyone to mess it up.""",1
LOL  no he said  What do you call a jail cell to a gay guy? Paradise! ahaha.,1
truth on both counts that guy is an ass  and their product is sub par. I tell people try Dalesandros orJim's,1
Shakespeare nerd!,1
you are SUCH a fucking dork,1
Heh. Fuck 'em WHERE?!?,1
damn it i totally forgot that one!,1
haha fuck i wish i was there :(,0
paranoid is wack as fuck...the best song on 808s is DEFINITELY Bad News,0
wow  damn I would have been pissed @ that...,1
nigga u geigh lmao! fuck yo finals beeeeeitch,1
in London  I hate thee :( ENJOY YOURSELVES!!! &lt;33333,0
lollipop lolipop...oh loli loli loli....duh duh dum dum dum *Pop* Damn  im so bad at cheeeering people up &lt;3,0
that sucks :(,1
"read that this morning. my fav is how they just straight up say ""cum shots""",1
You pretty sure Angel's ass is fake too huh? I hated that 'I wont answer cuz conroversy is good' shit. That means FAKE.,0
Unibroue 17 !!!! Another damn good Unibroue,1
damn your evil 60 minute IPA beckoning me from the fridge right now...,1
I hear that. I hate charging.,0
It did  then my fucking dad turned it off. I just don't think it likes your movies. I was tryin to watch Nanny Diaries.,1
That sucks. My furnace started making funny noises the other day and I almost had a panic attack. I don't deal with cold well :),0
it pretty much is a fuck you card..,1
that karma is a bitch  HUH,1
don't get too fat or you'll turn into a boomer,1
"DAMN STRAIGHT
9na :)",0
I hate your job too.,0
the hormones are worse for guys.  I cant tell you how much I truly hate the thoughts that go through my head.,1
except for joe jonas the ass munch who broke up w/our tyler via phone..kinda like doing via text - what kind of a-hole does that?,1
man that rly sucks. I for 1 am positive that all will work out. You're a bright dude... pretty cool 2 if I don't say so myself.,1
hard to kick ass yourself with slippers on?  On it.,1
LOL! I'm not proud of my inability to deal with the cold :( I hate the treadmill too  but not as much as the cold...,0
I hate upping more than downing lol @seanzageek Its pretty awesome  AMD hasn't met release dates let alone beaten them in ages :),0
Awesome :) I hate updating the BIOS LOL,0
Thats pretty damn awesome! Very smart :) @Aaronage Sure!,1
Looks like a good competitor :) Wouldn't touch it personally  hate Symbian and Nokia Software :) My N95 is a bitch lol,0
freak'n awesome. so far loving 4.5. the browser is fantastic. and finally video  pretty cool,1
ok that sucks. Someone needs to remind them about progressive enhancment....,0
Omg that sucks  but it's SO funny,0
lol  i know what you mean. But i kinda am a nerd so yeah  but still,0
Damn  that sounds good...,1
they should have a wii loser..that way you can compete with your wii friends.,1
@markmancao haha. i love it! gay nights for all!,1
that's awesome! you're pretty damn good!,1
Faggoty fag fag. Gay secks man blowjob. Settle down.,1
Right. That wouldn't be creepy as fuck.,1
HOLY SHIT. Fuck that band.,1
Gay fag.,1
I hate that bands have wardrobes.,0
that sucks dude  sorry for your loss,0
oh ok it's the dick-in-a-box guys  that explains the timberlake appearance,1
*falls off of bed laughing fabulous ass off* Dude I think that made me BLUSH. WTF? LOL?,1
and @justlikeanovel: *raises hand rather gaily* One real gay man right here  darlings! HOLLA! #supergay,1
okay cool.  I can help you guys this weekend.  Those routers are a bitch to get working some times.,0
 oh man. the malls are a mess  it grosses me out. ohhh capitalist dogma  how i hate you,1
i hate when shows take holiday breaks. its killer to my free time.,0
"where'd ya put it? o btw: ""kick ass quote Copyright&#169; 2009 @abcd91 All Rights Reserved""",1
It sucks to be done with exams n still be @ Mayag.,1
I'm such a pizza freak... Mmm.,0
Epic WINS for Fuck City&lt;3,1
Has it snowed where you are?? I miss the damn snow. I haven't seen any in forever. Everyone has some snow but me :( lol,1
 aren't you just super special.  I will not know the sweetness of sleep until about 9 tonight. I hate grad school. I want out!,1
fuck yes.  I hate them at work...,1
Holy ass hell balls!!!  $260 for premium????  Fuck upgrading.  I will fucking cope with Basic,1
but seriously...  WHY THE HELL ARE YOU STILL ONLINE????  Were you injured in god damn 'NAM or something???  GO!!!,1
damn. Don't want to visit a country that doesn't allow passport smile. Just want to go to Cabo soon.,1
I've never been to New York  and Peyton was an ass when the Chargers wanted to draft him  but I do love to win.,1
Oh honey  just hold in your mind the rankest thing a guy has ever done to piss you off  and you'll have bitchy in no time.,0
damn.  did you buy bitchy too?,1
then by all means  bitch away! haha.,1
sucks that ppl will do anything to make a buck. i just love how your fans are calling them out. and i'm glad your iphone is safe.,1
Let that pussy freeze. Rotten bitey little bastard.,1
...okay. Maybe ONE more thing to look at on the interwebs. Damn you.,0
Damn! now I remember that people used to call you Benyl! forgot that little detail  you see,0
Dood! You just justified your MBA. I pity the sorry ass of that downtrodden employee whose manager you'll soon become.,1
hehehe. mine pleasure. Btw I too so loves it  when people be presumptous pricksy wicksies! feel jolly nice for me ass to rub on.,1
I've only lived a quarter of my life and no crisis so far... loser experience  yeah...couple of kinky pinky stuff-yeah. But crisis? Naa,1
imagine a building. not any building...a fucking 300 acre building full of weed....not any weed...but Caucasian Monkey-fuck Weed!,1
pretty much all bus drivers are fat... Besides Flavio.,0
Ugh  twitter stop it  you fucking slut.,1
HAHAHAHAHAHAHAHAHAHAHAHAHA (eww now thats fucking gross!) HAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAAHAHAHAHAHAHAHAHAHAAHAHAAHAHAAH,1
http://twitpic.com/sbrn - we hate you phil. doesnt TV want you yet?,0
cute video lexi u hve some of the of the weridest & cutest little toys i know wht u'll say (shut the fuck up ACH) haha,1
Fuck the pics! @giove_dea WE WANT VIDS!!,1
Hard to play because it is damn fucking awful,1
you got that right! People stealing others' generators  & other stuff inside the homes when they know no one's home..sucks big time,1
no grown man should include DIP in his sentence....lol...I know I'm hatin but fuck it I'm lookin @ snow..lol,1
Thanks  Yeah shes fine they have her sedated..we hate hospitals so she was being a bit rude. So they knocked he out!,0
oh god  we have an icp display in our window  and weve been getting so many fucking juggalos and they smell sooo bad.,1
"you should have her talk to @junsten about that. Similarly  he once told me  completely out of the blue  ""I'd hate to be a bird.""",1
I nominate @PRsarahevans for a Shorty Award in #socialmedia because... Shes damn good at everything to do with Social Media.,1
hate friendfeed...especially since Scoble endorses it :),0
Captain Jean Luc Pic-card of the USS Enter-prize  Captain Jean Luc Pic-Y'KNOW WHAT? FUCK YOU  TEMPLESMITH!,1
FUCK YOU RIGHT IN THE FILTHY PUCKERING SPHINCTER YOU CALL A SOUL!,1
damn. oh well. i'll have to go find someone who's trained or something...wait  my WIFE is getting trained. now THAT's an idea!,0
You're going too? Fun.  @JesusNeedsNewPR I hate job hunting,0
damn . . . now I really  REALLY want breakfast food!,0
another downside to living in DSM but working in Indianola:  lunch meetups are usually not possible. :( damn isolation!!!,1
ughhh that sucks!!!!   How'd you get back from Sterling?,0
"there's nothing better than listening to music on shuffle and hearing you say ""you bitch!"" randomly in the middle of it.",1
I hate it. Horrible stuff.,0
I got it. How many damn websites do u have homie! Sheesh!,1
U know they all the same dame spot! I bet ya'll got the same damn middle eastern type of cats cooking that crack up too!,1
 kno I check ur blog out! Alpha females vs being a bitch.....damn u be analyzing!,1
That sucks. Poor baby Andy. Hope he gets better.,0
OMG again eating :P yaar u eat alot but u don't look so fat what is the sceen behind this :S,0
haris i m trying to control my fat tummy did'nt eat from 2 days :D,1
wx in ny sucks! haha lots of snowww and blowing wind!,0
700. you glutinous bitch!,1
LULZ is gay!,0
Ok  you're starting to sell me on these vinyl toys (damn  that sounds bad),1
So true  so true.  Lame ass people are now officially off my radar!!!! Bu-bye!,1
lo thankyou.. will see you soon :) and i hav to send a mail to u damn!,1
Fuck yeah! :P Where've you been ...?,0
Have you tried 'fuck' and 'Fuck'? (yes  they are different),1
Well  not unless he wants some hot Vulcan action.  It only happens once every seven years  but damn  is it worth it.,1
damn i was hoping for some cash out of this... how bout 5 for pain and suffering lol,1
that sucks... she should prolly just change her major lol,1
that sucks... so are there plans to get back together? or are they done?,1
you are a fatty fat fat,1
I HATE when that happens!,0
you never posted your blog. and today is guest blog day. get with the program my slut pink zebra. LOL loveee you anyway!,1
they're not gross. U shaddup u fat ass HATER!!! & yes I made them for mark & my son.,1
no one likes every fat snack u do bitch! so shaddup ahahahahaha,1
stop the hateration bitch! it's only gonna make that mohawk stand up rotf!!!,1
ask him why he's jumping out of the window. And ask him hows he gonna do it in those tight ass jeans???,1
'Night Guy' is ALL motivated @ 11pm but he knows 'Morning Guy' is gonna hate him when Miss Emily arrives at 5:30am ;-) Night Tweets!,1
OK but I'm telling you  it's going to be hard for me to fight my inner grammar nerd. I'll do it for the cause though ;),1
What I HATE are white collars on colored shirts.,0
that sucks. Where are you trying to watch it?,0
mythbusters is a great and nerdy show. Embrace your inner nerd..no suprise they were on the launch of youtube live ha NERDZ ROOL,1
"lol @ ""the bitch"". damn.",1
damn. thats crazy early. i wont hit the city til 9:30 but i will be a few blocks from the spot.,1
Slurpees are awesome. Damn  now I really really want one O.o,1
"I can see it now. ""Listen  you cow-loving yahoos  just put all of the slurpee in this bag! What? Cups? I don't need fucking cups!",1
lol I hate you. And by hate  I mean love  but I still hate you XD,0
i loved it  i laughed my ass off,1
ahh  you might be on to something...damn techies,1
The pig of shame? Lol! Is that like the aardvark of discontent?,1
Still - it's damn moronic that media people can't access media - particularly media made by their own company!,1
if anyone said Arial I'm gonna beat their ass.,1
well find him and kick his butt too! I hate it when people take advantage of the mentally challenged.,1
Tell her she says Bitch like it's a bad thing,1
I did have a moment of seriously considering that. I mean... my Dirt Devil sucks. But I didn't plan on buying a new one soon,1
my time sucks... having a difficult time MANAGING w/o the structure of college classes but I really want to work w/ you on it,0
Ugh! I hate when I get spam followers... They shouldn't count against our talley of actual followers... :-p,1
You know what you are? You're like a big bear with claws and with fangs... big fucking teeth  man.,1
Damn  you're totally geeking out on us tonite.,1
Ha! If I were your neighbor  you'd be tweeting about that bitch next door with the loud music. Admit it.,0
Stumped on that one...hate to admit it!,0
Well  well  well...damn that sounds fantastic LOL I'm sorry  what exactly was it that you wanted?,0
the eagle w/ @leahsairy ... Decided 2 not do power lesbian night @ mecca & hang out w/ our real queer ppl 2night. gr8 indy band. Emo punk.,1
ugh that sucks babe,0
we are so silly and pathetic and so fucking cool! You tellin me you choking made me choke! And I am sitting next to some girl w ...,1
damn straight! Happy birthday Maddie!!! Xoxoxo.,0
that is great. I would hate for you to have that big truck come by during the holidays.,0
Let your hate for Gambit grow. Embrace it. Spread it.,1
dig deep and find that special Christmas hate!,1
I tried to rickroll my office christmas party last night but the damn band didn't know it!,1
even though I was at the same lunch as you  we missed you at our end of the table! Need a damn smart phone! Coulda tweeted back.,1
"I've never found a way so I ""star"" those. I love GMail when I don't hate it.",0
Smack a bitch? :-D,1
Hate what ?,0
rock  not the. He gives the emo populists limp wrist rocker throw.,1
Already on the coffee. I love her  but hate the whole spite thing. Climbed right on top of me to do it!,1
i feel fucking great get me another drink,1
"OMG I LOVE THAT SONG XD

ITS FUCKING HILARIOUS",0
I hate auntie flow too.  I should be starting soon. :(  I gained weight this week from pms (eating a lot)!,0
How do you do that? I HATE my Blackjack so much I have almost resorted to violence?,0
"You've got 5"" of snow?  Damn.  I'm jealous.",1
It just sucks that so many use it as a crutch.,1
They say I have the best ass this side of fourteenth street.,1
yes i love the pillows  livejournal jrock rotations (get an lj  they're sick) and uhh fuck i dunno  twitter?? just the site,1
ha not that creepy. because it's week 10 and I'm fucking stressed out as hell. I wish I could take a trip down there x.x,1
if the opportunity arises  aye aye. God  I hate kids.,0
Fuck  amen to that,1
Aww... Dnt hate the weather  rain can be so soothing sometimes!^^ I still have one more test DD:,1
I knw!!!!!  I hate that! D:,1
Aww. Thanks dear. And I hate my gradeschool friends for ditching me. They forgot about me when we are suppose to be at her wake.=(,1
yeah. i had to beg the stupid teacher. it was so gay.,1
yeah we all call her a whore and shes all don't call me that! So i called her a slut. And she said im a tease! And i told her  ...,1
told ya she was fat! she's loyal tho  she has this goin for her...,1
if you tweet about that damn song one more time.... And its on the Scion double disc promo cd,1
I have all th nerd at home and I'm a smart ass too. So I answered you,1
u got me lemming for some laneige whitening shit! ive been breakin out lately n i need somethin to whiten my damn acne scars bleh,1
you're not a twitter slut until you show us full frontal nudity... so until then you're just a tease =P,1
haha... so you want to be a twitter slut... alright  fine... i'll be waiting for the moment you mature from a tease to a slut!,1
and there were only 5 of us.. it was a night that i've already forgotten... damn the alcohol,1
I like the verses to the song....just not that lame ass auto tuning nigga on the hook,1
hold up nigga..u cant hate Jay-Z...might have to beat yo ass like that nigga did when that other guy said F Tupac...lmao,1
way to damn hard,1
"the explosion of social media into mainstream business.  We will see everyone joining Twitter  its the ""year of the nerd""",1
but...but...to hate them is sin!!! just give me the ones you get angry with...i'll take care of them! hahaha,1
DOGS LICK THEIR ASS...NEED I SAY MORE? DOG.,1
No  I HATE those commercials! Just GROSS. *gag* Okay okay  you've got an hour before showtime. hehehe &#9829;,1
yeah hes fucking serious,0
it was a joke haha. i figured id be emo too since everyone is complaining on here,1
"Being on fire is ""safe""? I'd hate to see what you consider peril!",0
It sucks though when you have nothing to do at 4AM and your roommate wants to sleep.,1
o so the rumors are true i am OBESE! yea fat!,1
girlfriend where the fuck did u find that photo! lmao!,1
ur a damn fool lmao,1
They're not my preference  but the app is so damn fast and thorough that I let it slide.,1
 Ha! Yeah  that caught my attention  too. Now wait & watch for Red Wings fans to freak. I'm gonna make popcorn for that show :),1
Tell them you want YouTube to quit fucking with things that no one wants fucked with.,1
No  you just piss out anything your body won't absorb.,1
Doh! dont you hate it when that happens  I keep meaning to take a backup myself,1
Damn he's doing sneeks for Nike and Louis Vuitton? Dude's gonna be rolling in dollar...,1
Mate it is. In Newcastle it was -1  down Bath -6  it's fucking brassic cold,1
"
Can ANYBODY  ANYBODY PLEASE TELL ME what LMAO means???
This is a CRY 4 HELP!!!
WHAT THE FUCK DOES IT MEAN???
hate text talking",1
Sure  name your price. Oh fuck  sorry I'm not THAT pissed,0
: And whilst on the subject  all Aussie drivers should be reminded KEEP LEFT UNLESS OVERTAKING. Damn middle lane owners club!,1
less #damn-fridays  more #bad_wookie_pun,1
fuck...I forgot,0
women are fucking disgusting.,1
you bet your sweet ass you will!,1
i hate myspaces people you should know,0
dating a 4 year old? Damn. You're faster than me. I only caught 3 year olds name.,1
 will do when i get home  only time i heard it was warped though  fuck life!,1
ah damn!,0
the beef stew from that latin place? I fucking loved their coffee i wanna eat there again.,0
AHHHH. Brandy!!!! I LOVE 'HUMAN' like a fat kid loves cake! Thank you for making this album. AHHHHH I love you girl!! OMG!!!!!!,0
Man  why u live in NYC in that crazy ass weather. Move out to LA. It's nice EVERYDAY. NYC is soo over-rated! lol,1
i got ur ticks  but yo ass ain't gonna come! lol,1
Ugh  ok... I hate NYC also. Hmmm. thinking...We are having a Screening on the FOX Lot that week. Maybe u can roll through?,1
Dude. That. Sucks. :(,0
haha thats sucks.. if that happened to me  idk what i would have done.,0
stuff like building the forums is what I do when writing is kicking my ass  that's how I do it ;),1
"Also  I caught that ""Gai-damn"" earlier  and I support it 100% ;)",1
gee  i'd hate to see what you say about the family ;),1
dude dont tell me what to do thats not your place. i do what i want. just chill the fuck out and worry about yourself.,1
oooo she's gonna go kick your ass now XD,0
damn fine! The snow is gone thank god!,1
That sucks.  Life can't really be that bad  right?  Chocolate does always help.,1
i hate you :P happy birthday dude  good to know your enjoying it,1
thats a good question.  most lawyers HATE that stuff.,1
YOU STUPID WHORE I HOPE YOU ARE IN YOUR HOUSE WHEN I BURN DOWN YOUR HOUSE YOU STUPID WHORE WHY WOULDN'T YOU GO TO PROM WITH ME,1
oh guess who got an australian shephard puppy today. note: NOT ME. the other roommate. yeah. another. fucking. dog.,1
ummm. Ya. That's pretty damn pimp.,1
as much as I hate the winter  those pics are beautiful. We've had insane-o storms like that in MO. Sucks so bad  esp sans power,1
got delayed.  your ass kicking will have to wait.,1
I know it sucks  but I'm actually envious of you.  Though I have orientation for a tutoring program on the 14th.  Did I tell you?,1
it was just a joke man..i wasnt taking the piss out of anything.,1
I HATE tht,0
i hate your face sounds EXACTLY like something i would say.also reminds me of a drunk girl trying to fight me and,1
whale wars?? sounds epic.,0
can't you wind the flash levels down? I hate flash  I'd rip the things off if I could...,0
i was spanked but do not  only because it makes my kid behave worse  so doesn't work. not a lot does work-kinda sucks too.,1
I've been messing around with some of the beta releases. It murders every other WP version (widget panel still sucks though).,1
"Are you laughing your ass off with all these ""juicy"" twits?",1
yeah we do... damn this time difference *HUGS*,1
OMG bundesliga and brasilian bossanova. This was worse than seeing your loved family dog licking his ass. I'm scarred,1
hmm so thats suk your soul hate and reinvent you to get my dry cleaning hate?,1
LOL!!  It's ok to admit that you got fat  or phat :-P. Hahahahaha jk :-D.,0
"drm sucks.
-a",0
drm sucks.,0
yep. I didn't think to go online and check calorie/fat count until AFTER dinner. Bummer.,1
wow - mommy's little cheerleader! *must... not... take... the...piss......*,1
lol.. that sucks..it's so nice in miami... catching that ocean breeze from the balcony....don't want to rub it in...lol,1
oh hot damn!,1
He can't hear you  his head's too far up his own ass.,1
Prison Bitch is a sparkling addition to any resume.,1
a constant receiver does not a giver make. Prepare to be Prison Bitch Blagojevich (new campaign slogan  it rhymes),1
that sucks that you're sick. Sorry to hear that.,1
No thanks. I don't want cable. I hate most TV shows. I really hate commercials. I get my news online. I'm good. :),1
try telling your parents that you don't want to see them. see how well that fucking works out for you  yeah?,1
Football. I hate it. It&#8217;s official  I&#8217;m bad luck.,1
I fucking love Haunted.,1
I didn't know you were an avid football watcher. Is that even football? I think it is. Fuck sports.,1
lol kevin bought me damn near nothing and we dated for over 10 months. my life sucks.,1
Yea it sucks!!,1
Indeed. But the Collier conversation relationship head up your gleeful ass kumbaya stuff needs to be put out with the trash.,1
yeah i am glad i have the next 2 days off.. I just have to get through xmas eve and the weekend afterwards. damn gift cards,1
hot damn! did you get an iPhone too?,1
aw  thanks. it's going better than yesterday  that's for damn sure. :-D,1
no. i must have missed that one. damn. ;-),1
have a safe flight.....damn now you make me want some jamba juice,1
I got it for Wii  when I get back from my dad's we're gonna play and it will be so kick-ass.,1
http://twitpic.com/xm6u - You have an inbox folder for CYA - Covering Your Ass?,1
him and his damn tech stuff bwahaha,1
i'm not emo. I'm fucking happy!,1
well now I have to edit myself and you know how I hate that!,1
if u get a stye is it from seeing a dog shitting or fucking?  And what do I do with my fingers?  Consult H if u need to.,1
what does that say about me that I was laughing my ass of when I heard that. Rapping the word titties is just damn funny,1
& I was there helping your ass pack to get on the plane. A tru friend - helping you track a sub sized weiner like fucking GPS,1
you have officially been put on my bread stick mailing list. Fuck those rock republics and eat something already.,1
i get that ha ha smart ass :p,1
i feel pretty oh so pretty...i feel pretty and witty and gAY! Ha ha good times,1
Yeah  I mean I know the plan and the creative are kick-ass. But sometimes clients have a warped view.,1
Oh man  that sucks. @Vincentdooly can you help @dsmoore out?,1
yea the weather sucks. At least you missed the 8 degree weather though lol.,1
don't forget ppl sitting around working in a tshirt/boxers lol. J/K  my wife is a neat freak & believe it or not I kind of am too,0
I do  but I'm an American. Hence  I'm a pussy.,1
God.. that commute has to be a bitch dealing with.. driving back and forth from Raleigh to Fayetteville...,1
Crying. Literally. You win. I'm destroyed  laughing and crying and I hate and love you all at once.,0
I take full pride in being a nerd. Hahah.,1
All computers hate you back! Haha...good luck.,0
Big Fat Quiz of The Year 2008 is on C4+1.,0
THAT'S AN UGLY ASS PICTURE!,1
Pretty much  but now there will be less AIM errors! Weeeee  you can see that I don't type like a retard!,1
damn it!,0
My grandmother is a big bitch and my father's a fraking arsehole.,1
Thing I hate the most = Alternate side of the street parking rules.,0
you must be bored...you are a twitter whore today. ;),1
man i'm jealous of your day! i'm also hooked on twitter. damn arv. like i needed another procrastinating tool like this.,1
Awww bless  darling  you know you can *always* wear a wig and stilettos. In other news: National Treasure sucks.,0
just don't eat a meal replacement bar.. I fucking threw up!!,1
fuck duke!,1
"what if their ""you"" really sucks? like  why be a wack person when you can be an imitation of a more cool person? i think this",1
Weird. I gotta say  I love my pig.,0
There was a SVT tweet-up last night  damn I was down at BJ's in Cupertino till 7ish,0
2 weeks? how am I gonna live without money for 2 fucking weeks?,1
i hate it when people buy stuff between thanksgiving and christmas!! Cuz then you don't know what to get them!!,0
Well get your ass busy!,1
Hi new friend! I like your personality.super cool:) Yeah I forgot it is like 9 am there..that sucks!,1
damn that sucks..I hope you are ok now,1
haha! No. We have a new stand up board at work and we have barstools to sit on. I hate them!,1
Excited that yr friends get to see yr show. I hate them. ;) No  rly  I do. .....Sad that tonite is last show.  Hard to say goodbye?,1
"Thanks. Nothing just watching ""Jack ass"". Are you having fun doing nothing over there?",1
Well  that's upsetting. We can party it up over here. Jack's ass is quite enjoyable thank you,1
Fuck. Well  you can for a low cost of 19.99 with shipping and handling. But that's only if you really want to.,1
Fuck again. Call 1800QZAK. Then your problems will be solved. I might even get you a discount,1
If you stay home to twitter and have a martini on NYE does that make you a loser?  don't answer that...  I don't want to know,1
you're a fucking maniac.,1
its ok decided not to go to fam party. going back to bed. wtf moon i hate you. wtf life. dead.,1
HAHA WHYYYYY do you hate my school!? NOOOOOO :(:(:,1
FUCK SUNDAY im super bummed.,1
whelchers fuckin suck ass!,1
some peoples drama just sucks!,1
well that sux donkey dick. No interwebs is kinda a pain for ur work.,1
Then she changed roles and she is a little less bitch from hell but still  her sting has too much barb.,1
today feels like sunday.....damn lol,1
Damn didnt even see that lol  : /,1
HATE THAT...happened to me today i was like...YOUR WELCOME *cut eye* and walked back out lol,1
i hate hate hate it with a passion!! lol...i know the calls are recorded i talk mad shyt down the phone LOL!!!,1
don't you hate that?  Though I have so much product to make by the weekend I wish it was Tuesday.,1
i think its a cultural fad.. starbucks coffee sucks and its wayy overpriced.,1
i just deleted all the people that i have on my facebook off myspace Damn if everyone switched i could just delete the account,1
Oh  heck! I was all ready to pull a Dan Rather and pronounce Dick Cheney dead.,0
In case it's not obvious  the rabbit  glasses and ass are not phone-cam pix.,0
Hate them.  If I'm not pulled in by their previous tweet content I might even unfollow.  Basically still selling to a stranger.,0
no! I think UofA's navy jerseys on white pants rule.  And all red sucks. But seeing BYUs colors  I guess all red makes sense.,1
here 2!Another big storm is blowing our way. I hope it waits until I'm home from work b4 it starts snowing. Hate driving in it!,1
no i think you will hate it. Its a bunch of dirty work.,1
the iced media party. Long ass day at the office  time for a drink or 3,1
easy! keyshia sucks. It's pathetic when an actor makes a better album in his 3rd profession (act  stand up) than you do in your first,1
@TheflyGIRL Done! But I must tell you  that negro got a hard ass head. My elbow hurts...,1
LOL at the Razor Ramon shit. I surely was gonna Ultimate Warrior his ass. Shaking the ropes and the whole 9!,1
You done started something! Got me all nostalgic and shit KNOWING good and damn well I got work to do...LOL,1
@mekdot yo...heroes sucks!!! I loved season 1  despised 2 and feel like season 3 is a lousy high school special. BOO HISS BOO!!,1
